ISO 8859-1,,,,UTF-8,,,,,,,,,,,,,,,,,,
"Character
Number",Character,Hex,,"Unicode
code point",Character,"UTF-8
(hex)",Character Name,Block,,,,,,,,,,,,,,
111,o,006F,,U+006F,o,6f,LATIN SMALL LETTER O,,,,,,,,,,,,,,,
112,p,0070,,U+0070,p,70,LATIN SMALL LETTER P,,,,,,,,,,,,,,,
113,q,0071,,U+0071,q,71,LATIN SMALL LETTER Q,,,,,,,,,,,,,,,
114,r,0072,,U+0072,r,72,LATIN SMALL LETTER R,,,,,,,,,,,,,,,
115,s,0073,,U+0073,s,73,LATIN SMALL LETTER S,,,,,,,,,,,,,,,
116,t,0074,,U+0074,t,74,LATIN SMALL LETTER T,,,,,,,,,,,,,,,
117,u,0075,,U+0075,u,75,LATIN SMALL LETTER U,,,,,,,,,,,,,,,
118,v,0076,,U+0076,v,76,LATIN SMALL LETTER V,,,,,,,,,,,,,,,
119,w,0077,,U+0077,w,77,LATIN SMALL LETTER W,,,,,,,,,,,,,,,
120,x,0078,,U+0078,x,78,LATIN SMALL LETTER X,,,,,,,,,,,,,,,
121,y,0079,,U+0079,y,79,LATIN SMALL LETTER Y,,,,,,,,,,,,,,,
122,z,007A,,U+007A,z,7a,LATIN SMALL LETTER Z,,,,,,,,,,,,,,,
123,{,007B,,U+007B,{,7b,LEFT CURLY BRACKET,,,,,,,,,,,,,,,
124,|,007C,,U+007C,|,7c,VERTICAL LINE,,,,,,,,,,,,,,,
125,},007D,,U+007D,},7d,RIGHT CURLY BRACKET,,,,,,,,,,,,,,,
126,~,007E,,U+007E,~,7e,TILDE,,,,,,,,,,,,,,,
,,,,U+007F,,7f,<control> Delete,,,,,,,,,,,,,,,
,,,,U+0080,,c2 80,<control> PAD – Padding Character,Latin-1 Supplement,,,,,,,,,,,,,,
,,,,U+0081,,c2 81,<control> HOP – High Octet Preset,,,,,,,,,,,,,,,
,,,,U+0082,,c2 82,<control> BPH – Break Permitted Here,,,,,,,,,,,,,,,
,,,,U+0083,,c2 83,<control> NBH – No Break Here,,,,,,,,,,,,,,,
,,,,U+0084,,c2 84,<control> IND – Index,,,,,,,,,,,,,,,
,,,,U+0085,,c2 85,<control> NEL – Next Line,,,,,,,,,,,,,,,
,,,,U+0086,,c2 86,<control> SSA – Start of Selected Area,,,,,,,,,,,,,,,
,,,,U+0087,,c2 87,<control> ESA – End of Selected Area,,,,,,,,,,,,,,,
,,,,U+0088,,c2 88,<control> HTS – Character (Horizontal) Tabulation Set,,,,,,,,,,,,,,,
,,,,U+0089,,c2 89,<control> HTJ – Character (Horizontal) Tabulation with Justification,,,,,,,,,,,,,,,
,,,,U+008A,,c2 8a,<control> LTS – Line (Vertical) Tabulation Set,,,,,,,,,,,,,,,
,,,,U+008B,,c2 8b,<control> PLD – Partial Line Forward (Down),,,,,,,,,,,,,,,
,,,,U+008C,,c2 8c,<control> PLU – Partial Line Backward (Up),,,,,,,,,,,,,,,
,,,,U+008D,,c2 8d,<control> RI – Reverse Line Feed (Index),,,,,,,,,,,,,,,
,,,,U+008E,,c2 8e,<control> SS2 – Single-Shift Two,,,,,,,,,,,,,,,
,,,,U+008F,,c2 8f,<control> SS3 – Single-Shift Three,,,,,,,,,,,,,,,
,,,,U+0090,,c2 90,<control> DCS – Device Control String,,,,,,,,,,,,,,,
,,,,U+0091,,c2 91,<control> PU1 – Private Use 1,,,,,,,,,,,,,,,
,,,,U+0092,,c2 92,<control> PU2 – Private Use 2,,,,,,,,,,,,,,,
,,,,U+0093,,c2 93,<control> STS – Set Transmit State,,,,,,,,,,,,,,,
,,,,U+0094,,c2 94,<control> CCH – Cancel character,,,,,,,,,,,,,,,
,,,,U+0095,,c2 95,<control> MW – Message Waiting,,,,,,,,,,,,,,,
,,,,U+0096,,c2 96,<control> SPA – Start of Protected Area,,,,,,,,,,,,,,,
,,,,U+0097,,c2 97,<control> EPA – End of Protected Area,,,,,,,,,,,,,,,
,,,,U+0098,,c2 98,<control> SOS – Start of String,,,,,,,,,,,,,,,
,,,,U+0099,,c2 99,<control> SGCI – Single Graphic Character Introducer,,,,,,,,,,,,,,,
,,,,U+009A,,c2 9a,<control> SCI – Single Character Introducer,,,,,,,,,,,,,,,
,,,,U+009B,,c2 9b,<control> CSI – Control Sequence Introducer,,,,,,,,,,,,,,,
,,,,U+009C,,c2 9c,<control> ST – String Terminator,,,,,,,,,,,,,,,
,,,,U+009D,,c2 9d,<control> OSC – Operating System Command,,,,,,,,,,,,,,,
,,,,U+009E,,c2 9e,<control> PM – Private Message,,,,,,,,,,,,,,,
,,,,U+009F,,c2 9f,<control> APC – Application Program Command,,,,,,,,,,,,,,,
160,NBSP,00A0,,U+00A0,,c2 a0,NO-BREAK SPACE,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
161,¡,00A1,,U+00A1,¡,c2 a1,INVERTED EXCLAMATION MARK,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
162,¢,00A2,,U+00A2,¢,c2 a2,CENT SIGN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
163,£,00A3,,U+00A3,£,c2 a3,POUND SIGN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
164,¤,00A4,,U+00A4,¤,c2 a4,CURRENCY SIGN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
165,¥,00A5,,U+00A5,¥,c2 a5,YEN SIGN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
166,¦,00A6,,U+00A6,¦,c2 a6,BROKEN BAR,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
167,§,00A7,,U+00A7,§,c2 a7,SECTION SIGN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
168,¨,00A8,,U+00A8,¨,c2 a8,DIAERESIS,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
169,©,00A9,,U+00A9,©,c2 a9,COPYRIGHT SIGN,,U+003F,?,3f,QUESTION MARK,,,,,,,,,,
